"Status","No Daftar JKKP","Title","OSHWA REPORT - PDF (Item)","Folder Report OSHWA (Item)","Nama Organisasi","Alamat","Sektor Industri","No ROC","Bil Pekerja Lelaki","Bil Pekerja Wanita","Jumlah Jualan Tahunan","Nama Kakitangan","Tarikh Pemeriksaan","Tahap Pematuhan","fA1 Tanda laluan keluar dan lampu kecemasan","Catatan: fA1 Tanda laluan keluar dan lampu kecemasan","fA2 Laluan yang tiada halangan","Catatan: fA2 Laluan yang tiada halangan","fA3 Susunan barang teratur","Catatan: fA3 Susunan barang teratur","fA4 Pengesahan struktur selamat pelantar kerja / beban","Catatan: fA4 Pengesahan struktur selamat pelantar kerja / beban","fA5 Penandaan kawasan kerja","Catatan: fA5 Penandaan kawasan kerja","fA6 Keadaan sempurna lantai kerja, pelantar dan tangga","Catatan: fA6 Keadaan sempurna lantai kerja, pelantar dan tangga","fA7 Tepian terbuka dihadang","Catatan: fA7 Tepian terbuka dihadang","fA8 Lubang dan pembukaan lantai ditutup / di pagar","Catatan: fA8 Lubang dan pembukaan lantai ditutup / di pagar","fA9 Kebersihan dan kekemasan kawasan kerja","Catatan: fA9 Kebersihan dan kekemasan kawasan kerja","fA10 Kawalan risiko bekerja di tempat tinggi","Catatan: fA10 Kawalan risiko bekerja di tempat tinggi","fA11 Kawalan risiko dari aspek persekitaran pekerjaan","Catatan: fA11 Kawalan risiko dari aspek persekitaran pekerjaan","fA12 Kawalan risiko bekerja di ruang terkurung","Catatan: fA12 Kawalan risiko bekerja di ruang terkurung","fB1 Kawalan risiko pengoperasian loji dan jentera","Catatan: fB1 Kawalan risiko pengoperasian loji dan jentera","fB2 Prosedur Kerja Selamat (SWP)","Catatan: fB2 Prosedur Kerja Selamat (SWP)","fB3 Pendaftaran Jentera Berperakuan","Catatan: fB3 Pendaftaran Jentera Berperakuan","fB4 Tanda amaran","Catatan: fB4 Tanda amaran","fB5 Keselamatan elektrik","Catatan: fB5 Keselamatan elektrik","fB6 Peranti Keselamatan","Catatan: fB6 Peranti Keselamatan","fB7 Pemagar Keselamatan Jentera (Safety Machinery Guarding)","Catatan: fB7 Pemagar Keselamatan Jentera (Safety Machinery Guarding)","fC1 Pelabelan dan pelabelan semula","Catatan: fC1 Pelabelan dan pelabelan semula","fC2 Kawalan risiko pendedahan bahan kimia berbahaya","Catatan: fC2 Kawalan risiko pendedahan bahan kimia berbahaya","fC3 Tanda amaran","Catatan: fC3 Tanda amaran","fC4 Penstoran","Catatan: fC4 Penstoran","fC5 Helaian Data Keselamatan (SDS)","Catatan: fC5 Helaian Data Keselamatan (SDS)","fD1 Kawalan Kejuruteraan seperti Penyerapan, Penyenyap, Penebat dan lain-lain","Catatan: fD1 Kawalan Kejuruteraan seperti Penyerapan, Penyenyap, Penebat dan lain-lain","fD2 Kawalan pentadbiran seperti Ruang Kawasan Senyap, Penggiliran Kerja dan Penjadualan Kerja","Catatan: fD2 Kawalan pentadbiran seperti Ruang Kawasan Senyap, Penggiliran Kerja dan Penjadualan Kerja","fD3 Tanda Amaran di Zon Pelindungan Pendengaran","Catatan: fD3 Tanda Amaran di Zon Pelindungan Pendengaran","fD4 Pemakaian Pelindung Pendengaran Diri","Catatan: fD4 Pemakaian Pelindung Pendengaran Diri","fE1 Kawalan risiko Ergonomik","Catatan: fE1 Kawalan risiko Ergonomik","fF1 Kemudahan tandas","Catatan: fF1 Kemudahan tandas","fF2 Tempat rehat / solat","Catatan: fF2 Tempat rehat / solat","fF3 Kemudahan air minuman yang bersih","Catatan: fF3 Kemudahan air minuman yang bersih","fF4 Kemudahan riadah dan sosial","Catatan: fF4 Kemudahan riadah dan sosial","fG1 Peti Pertolongan Cemas (First Aid Box)","Catatan: fG1 Peti Pertolongan Cemas (First Aid Box  )","fG2 Alat Menentang Kebakaran","Catatan: fG2 Alat Menentang Kebakaran","fG3 Tempat Berkumpul","Catatan: fG3 Tempat Berkumpul","dA1 Pembentukan Dasar Keselamatan dan Kesihatan Pekerjaan","Catatan: dA1 Pembentukan Dasar Keselamatan dan Kesihatan Pekerjaan","dA2 Komitmen dari pihak pengurusan atasan","Catatan: dA2 Komitmen dari pihak pengurusan atasan","dA3 Komunikasi kepada semua pekerja dan pihak berkepentingan","Catatan: dA3 Komunikasi kepada semua pekerja dan pihak berkepentingan","dA4 Penglibatan / Pemahaman Pekerja","Catatan: dA4 Penglibatan / Pemahaman Pekerja","dB1 Penubuhan Jawatankuasa Keselamatan dan Kesihatan (JKK)","Catatan: dB1 Penubuhan Jawatankuasa Keselamatan dan Kesihatan (JKK)","dB1a Keahlian","Catatan: dB1a Keahlian","dB1b Mesyuarat berkala","Catatan: dB1b Mesyuarat berkala","dB1c Pemeriksaan Tempat Kerja oleh JKK","Catatan: dB1c Pemeriksaan Tempat Kerja oleh JKK","dB1d Siasatan Kemalangan, Penyakit Pekerjaan, Kejadian Berbahaya, Keracunan Pekerjaan, Kemalangan Nyaris oleh JKK","Catatan: dB1d Siasatan Kemalangan, Penyakit Pekerjaan, Kejadian Berbahaya, Keracunan Pekerjaan, Kemalangan Nyaris oleh JKK","dB1e Penubuhan JKK atau Pasukan Keselamatan dan Kesihatan (Safety and Health Team)","Catatan: dB1e Penubuhan JKK atau Pasukan Keselamatan dan Kesihatan (Safety and Health Team)","dB1f Tanggungjawab KKP dinyatakan secara jelas untuk semua Ahli JKK","Catatan: dB1f Tanggungjawab KKP dinyatakan secara jelas untuk semua Ahli JKK","dB2 Pelantikan Pegawai Keselamatan dan Kesihatan (SHO)","Catatan: dB2 Pelantikan Pegawai Keselamatan dan Kesihatan (SHO)","dB3 Pelantikan Penyelaras Keselamatan dan Kesihatan Pekerjaan (OSH Coordinator)","Catatan: dB3 Pelantikan Penyelaras Keselamatan dan Kesihatan Pekerjaan (OSH Coordinator)","dC1 Perancangan","Catatan: dC1 Perancangan","dC2a Induksi","Catatan: dC2a Induksi","dC2b Latihan dalam Kerja (On-Job Training)","Catatan: dC2b Latihan dalam Kerja (On-Job Training)","dC2c Latihan Kecemasan","Catatan: dC2c Latihan Kecemasan","dC2d Latihan / Taklimat Keselamatan kepada kontraktor, pelawat dan orang lain selain pekerja","Catatan: dC2d Latihan / Taklimat Keselamatan kepada kontraktor, pelawat dan orang lain selain pekerja","dC2e Latihan Pengurusan Jentera","Catatan: dC2e Latihan Pengurusan Jentera","dC2f Latihan Penggunaan Kelengkapan Pelindung Diri (PPE)","Catatan: dC2f Latihan Penggunaan Kelengkapan Pelindung Diri (PPE)","dC2g Latihan kepada Ahli JKK","Catatan: dC2g Latihan kepada Ahli JKK","dC2h Pengendalian Bahan Kimia Berbahaya","Catatan: dC2h Pengendalian Bahan Kimia Berbahaya","dC2i Pengurusan Pendedahan Bising","Catatan: dC2i Pengurusan Pendedahan Bising","dC3 Latihan Semula (Refresher Training)","Catatan: dC3 Latihan Semula (Refresher Training)","dD1a Senarai proses kerja","Catatan: dD1a Senarai proses kerja","dD1b Pentaksiran Risiko (Risk Assessment)","Catatan: dD1b Pentaksiran Risiko (Risk Assessment)","dD1c Pelaksanaan langkah kawalan yang dicadangkan","Catatan: dD1c Pelaksanaan langkah kawalan yang dicadangkan","dD1d Kajian semula Pentaksiran Risiko","Catatan: dD1d Kajian semula Pentaksiran Risiko","dD2a Daftar Bahan Kimia Berbahaya Kepada Kesihatan","Catatan: dD2a Daftar Bahan Kimia Berbahaya Kepada Kesihatan","dD2b Inventori Bahan Kimia Berbahaya","Catatan: dD2b Inventori Bahan Kimia Berbahaya","dD2c Helaian Data Keselamatan (SDS)","Catatan: dD2c Helaian Data Keselamatan (SDS)","dD2d Penaksiran Risiko Bahan Kimia Berbahaya Kepada Kesihatan (CHRA)","Catatan: dD2d Penaksiran Risiko Bahan Kimia Berbahaya Kepada Kesihatan (CHRA)","dD2e Tindakan ke atas cadangan kawalan risiko kimia (Berdasarkan Laporan CHRA)","Catatan: dD2e Tindakan ke atas cadangan kawalan risiko kimia (Berdasarkan Laporan CHRA)","dD2f Pengawasan Perubatan","Catatan: dD2f Pengawasan Perubatan","dD3a Pengenalpastian Bising Berlebihan","Catatan: dD3a Pengenalpastian Bising Berlebihan","dD3b Penaksiran Risiko Bising (NRA)","Catatan: dD3b Penaksiran Risiko Bising (NRA)","dD3c Tindakan keatas cadangan kawalan risiko (Laporan NRA)","Catatan: dD3c Tindakan keatas cadangan kawalan risiko (Laporan NRA)","dD3d Ujian Audiometrik","Catatan: dD3d Ujian Audiometrik","dD4a Pengenalpastian isu Ergonomik","Catatan: dD4a Pengenalpastian isu Ergonomik","dD4b Penaksiran Risiko Ergonomik (Initial ERA / Advanced ERA)","Catatan: dD4b Penaksiran Risiko Ergonomik (Initial ERA / Advanced ERA)","dD4c Tindakan ke atas cadangan kawalan risiko Ergonomik (Laporan Penaksiran Risiko Ergonomik)","Catatan: dD4c Tindakan ke atas cadangan kawalan risiko Ergonomik (Laporan Penaksiran Risiko Ergonomik)","dD5a Rekod Penyelenggaraan","Catatan: dD5a Rekod Penyelenggaraan","dD5b Sijil Perakuan Kelayakan","Catatan: dD5b Sijil Perakuan Kelayakan","dD5ci Orang Kompeten: Jurutera Dandang Stim","Catatan: dD5ci Orang Kompeten: Jurutera Dandang Stim","dD5cii Orang Kompeten: Operator Dandang Stim","Catatan: dD5cii Orang Kompeten: Operator Dandang Stim","dD5ciii Orang Kompeten: Operator Kren","Catatan: dD5ciii Orang Kompeten: Operator Kren","dD5civ Orang Kompeten: Penguji Gas Bertauliah dan Penyelia Kemasukan (AGT ES)","Catatan: dD5civ Orang Kompeten: Penguji Gas Bertauliah dan Penyelia Kemasukan (AGT ES)","dD5d Tatacara Sistem Penyelenggaraan Jentera (Lockout Tagout (LOTO) atau seumpamanya)","Catatan: dD5d Tatacara Sistem Penyelenggaraan Jentera (Lockout Tagout (LOTO) atau seumpamanya)","dD6a Prosedur ERP","Catatan: dD6a Prosedur ERP","dD6b Pelan Laluan Kecemasan","Catatan: dD6b Pelan Laluan Kecemasan","dD6c Pasukan Tindakan Kecemasan (ERT)","Catatan: dD6c Pasukan Tindakan Kecemasan (ERT)","dD6d Senarai Talian Kecemasan","Catatan: dD6d Senarai Talian Kecemasan","dD7a Elemen KKP dimasukkan dalam prosedur pengurusan kontrak","Catatan: dD7a Elemen KKP dimasukkan dalam prosedur pengurusan kontrak","dD7b Spesifikasi KKP dinyatakan dalam perjanjian","Catatan: dD7b Spesifikasi KKP dinyatakan dalam perjanjian","dD7c Pemantauan kepada kontraktor / subkontraktor / vendor dijalankan","Catatan: dD7c Pemantauan kepada kontraktor / subkontraktor / vendor dijalankan","dD8a Laporan Kemalangan / Kejadian Berbahaya (JKKP 6)","Catatan: dD8a Laporan Kemalangan / Kejadian Berbahaya (JKKP 6)","dD8b Laporan Keracunan Pekerjaan / Penyakit Pekerjaan (JKKP 7)","Catatan: dD8b Laporan Keracunan Pekerjaan / Penyakit Pekerjaan (JKKP 7)","dD8c Daftar Kemalangan, Kejadian Berbahaya, Keracunan Pekerjaan dan Penyakit Pekerjaan (JKKP 8)","Catatan: dD8c Daftar Kemalangan, Kejadian Berbahaya, Keracunan Pekerjaan dan Penyakit Pekerjaan (JKKP 8)","dD9a Rekod Kelengkapan Pelindung Diri (PPE)","Catatan: dD9a Rekod Kelengkapan Pelindung Diri (PPE)","dD9b PPE yang dibekalkan mempunyai kelulusan JKKP","Catatan: dD9b PPE yang dibekalkan mempunyai kelulusan JKKP","Markah  Semakan","Date","address","ID","Created Date","Updated Date","Owner","Media Gallery","Publish Date","Unpublish Date"
"PUBLISHED",,"no3","/report-oshone/no3","/report-oshwa/no3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ya","dsfs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8fc97344-decd-4f96-a9fa-1175bec7893d",2026-04-05T03:48:41Z,2026-04-05T04:14:15Z,"1342f8f2-e8a0-4b35-aa19-183ff05b6113","[""wix:document://v1/1342f8_64ca3024d2e34fcdb00e6b2b97a06c8a.csv/PG.csv"",""wix:document://v1/1342f8_dc7ff80af48d4809a8e62c71a93769f6.csv/Report%20OSHWA%205.4.26.csv"",""wix:document://v1/1342f8_9c6457bfe4cb45e28e9f591db4de0cdb.csv/SR.csv"",""wix:document://v1/1342f8_5cf03b6beff94ddbaf91a6921ae66207.csv/SV.csv""]",2026-04-05T03:48:41Z,
"PUBLISHED",,"no1","/report-oshone/no2","/report-oshwa/no1","IIUM10","IIUM","KERJA","122",,"10","10000","saif,bukan saif, org lain",,,"Tidak",,"Tidak",,"Ya",,"Ya",,"Tidak",,"Tidak",,"Ya",,"Ya",,"Tidak",,"NA",,"Tidak",,"Tidak",,"NA",,"Tidak",,"Ya",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak","sdas","Ya","sadsa","Tidak",,"NA",,,,"Ya",,"Tidak",,,"sda","Tidak","asdsa","Tidak","sdas","Tidak","sdasd",,"sadasd",,"das",,"sdsad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89","2026-04-15",,"a397ecbc-52c6-4d02-ae3f-fb3438e2d90a",2026-04-01T02:37:07Z,2026-04-05T03:12:00Z,"1342f8f2-e8a0-4b35-aa19-183ff05b6113","[""wix:image://v1/1d7dd8_0de09863b023409c8dd83f57c1335f9e~mv2.jpg/logo%20folder%20like%20window%20folder_edited.jpg#originWidth=1024&originHeight=1024"",""wix:document://v1/ugd/032e04_27fcf1af710d406a8cffd72cce603c4e.pdf/PANDUAN%20PEMERIKSAAN%20DOKUMENTASI.pdf"",""wix:image://v1/1d7dd8_1ac52e36b05b483081048168ff3edce7~mv2.png/image.png#originWidth=1920&originHeight=1080"",""wix:document://v1/ugd/032e04_a1204e243a0645d49ce2a45aed62f64f.pdf/Panduan%20Audit%20Dokumentasi.pdf""]",2026-04-01T02:37:07Z,
"PUBLISHED","NO1","no2","/report-oshone/no1","/report-oshwa/no2","IIUM10","no 22 ","kerja","10",,"19","1000000","saif, bukan saif, org lain",,,"Ya",,"Ya",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Ya",,"Ya",,"Ya",,"Ya",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"NA",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"Tidak",,"NA",,"Ya",,"NA",,"Ya",,"NA",,"Tidak",,"Tidak",,"Ya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99","2026-04-09",,"baa7d571-123e-4a80-b60c-3de69bdee4e8",2026-04-01T01:17:05Z,2026-04-05T03:14:03Z,"1342f8f2-e8a0-4b35-aa19-183ff05b6113","[""wix:document://v1/ugd/032e04_27fcf1af710d406a8cffd72cce603c4e.pdf/PANDUAN%20PEMERIKSAAN%20DOKUMENTASI.pdf"",""wix:image://v1/1d7dd8_1ac52e36b05b483081048168ff3edce7~mv2.png/image.png#originWidth=1920&originHeight=1080"",""wix:document://v1/ugd/032e04_a1204e243a0645d49ce2a45aed62f64f.pdf/Panduan%20Audit%20Dokumentasi.pdf"",""wix:document://v1/ugd/032e04_a752e16a9b3c4be6bfd92651d94caa53.pdf/cp%20eyesite-1.pdf"",""wix:image://v1/032e04_74a29736f767489fb96afd654b24e27e~mv2.png/cfed05f5-ac95-414a-acf1-9d28f263a20f.png#originWidth=1536&originHeight=1024""]",2026-04-01T01:17:05Z,
